split,temperature_C,ema_feature,reference,pearson_r,n_rows
train,45.0,absI_dev_ema50,forbidden_cumulative_Ah,-0.010466915585459254,33578
train,45.0,absI_dev_ema50,SOC_physical,0.010467314696145678,33578
train,45.0,absI_dev_ema50,forbidden_trajectory_progress,-0.011249762731258635,33578
train,45.0,absI_ema200,forbidden_cumulative_Ah,0.13207234748155863,33578
train,45.0,absI_ema200,SOC_physical,-0.1335636496273115,33578
train,45.0,absI_ema200,forbidden_trajectory_progress,0.13330131133930587,33578
train,45.0,absI_dev_ema200,forbidden_cumulative_Ah,-0.030535977593869078,33578
train,45.0,absI_dev_ema200,SOC_physical,0.030535065619258315,33578
train,45.0,absI_dev_ema200,forbidden_trajectory_progress,-0.0313157066486816,33578
train,45.0,forbidden_cumulative_Ah,SOC_physical,-0.9999888207229689,33578
