temperature_C,condition,bin_key,n_samples,SOC_IQR_fraction,SOC_range_fraction
0.0,D_raw_plus_both_history_tertiles,"(27, 23, 0, 1)",72,0.0015296705403603506,0.003913076684278316
0.0,D_raw_plus_both_history_tertiles,"(36, 16, 2, 1)",78,0.005435645242819809,0.012660488817722526
0.0,D_raw_plus_both_history_tertiles,"(36, 17, 2, 1)",52,0.004840537205914375,0.012512725270793057
0.0,D_raw_plus_both_history_tertiles,"(36, 25, 0, 1)",51,0.0002099748264017265,0.01001183044100562
0.0,D_raw_plus_both_history_tertiles,"(37, 22, 0, 1)",66,0.0013363385239532066,0.0027493101031286216
0.0,D_raw_plus_both_history_tertiles,"(37, 27, 2, 2)",53,0.014141775969607195,0.019486956283473633
0.0,D_raw_plus_both_history_tertiles,"(38, 27, 2, 2)",51,0.030307444377597914,0.04278896808314625
0.0,D_raw_plus_both_history_tertiles,"(38, 28, 2, 2)",52,0.03348302658113489,0.04278896967747614
0.0,D_raw_plus_both_history_tertiles,"(39, 27, 1, 2)",53,0.03672623573668665,0.042325619179391705
0.0,D_raw_plus_both_history_tertiles,"(39, 33, 1, 2)",56,0.02752032261795534,0.10475540039236209
0.0,D_raw_plus_both_history_tertiles,"(39, 34, 1, 2)",65,0.07534140151053614,0.19704545479360247
0.0,D_raw_plus_both_history_tertiles,"(39, 34, 2, 2)",91,0.05250924998721174,0.21418976068919426
25.0,A_raw_VI_bins,"(0, 0)",227,0.09488356864549359,0.2786876598772881
25.0,A_raw_VI_bins,"(0, 1)",154,0.06629905922985548,0.1352958616489642
25.0,A_raw_VI_bins,"(0, 2)",75,0.034405199148869095,0.09933606763804041
25.0,A_raw_VI_bins,"(0, 3)",55,0.016635065191261594,0.0676645510367696
25.0,A_raw_VI_bins,"(0, 4)",63,0.019673890331121408,0.05781683861740489
25.0,A_raw_VI_bins,"(0, 7)",68,0.02564224198604518,0.05266558849779351
25.0,A_raw_VI_bins,"(1, 0)",175,0.16686973210073996,0.3321238209732787
25.0,A_raw_VI_bins,"(1, 1)",106,0.05222834167712301,0.1432916202689919
25.0,A_raw_VI_bins,"(1, 2)",86,0.03586793840766203,0.11492104928004551
25.0,A_raw_VI_bins,"(1, 3)",102,0.02612319826346937,0.0898342757808274
25.0,A_raw_VI_bins,"(1, 4)",83,0.03158912808974772,0.0940958952020646
25.0,A_raw_VI_bins,"(1, 5)",75,0.025515908729426356,0.0898617938796374
25.0,A_raw_VI_bins,"(1, 7)",54,0.012678915865533907,0.059936095790957794
25.0,A_raw_VI_bins,"(1, 9)",52,0.03700814152553966,0.043236327554248694
25.0,A_raw_VI_bins,"(1, 10)",75,0.022223263172699514,0.06236620352918501
25.0,A_raw_VI_bins,"(2, 0)",94,0.2046254538560997,0.32258073319065333
25.0,A_raw_VI_bins,"(2, 1)",87,0.0574158591422993,0.1357514029506207
25.0,A_raw_VI_bins,"(2, 7)",73,0.015220069295328598,0.0742593550075931
25.0,A_raw_VI_bins,"(2, 10)",74,0.033452015838346616,0.07501407356006959
25.0,A_raw_VI_bins,"(2, 12)",52,0.017229391252659085,0.0530695853090187
25.0,A_raw_VI_bins,"(2, 17)",77,0.005927492508761095,0.010493879290438407
25.0,A_raw_VI_bins,"(2, 23)",60,0.0012971428266017604,0.0028105625728212097
25.0,A_raw_VI_bins,"(2, 24)",80,0.0015566410298249456,0.0181765347895234
